index_label,channelId,channelTitle,videoId,year,month,day,vidoeTitle,description,link,time
18,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,Vufy881Y4kc,2020,9,22,Live: PM Boris Johnson discusses fresh COVID-19 restrictions at commons,Prime Minister Boris Johnson addresses parliament on new coronavirus measures. The limited measures will aim to tackle the ...,https://www.youtube.com/watch?v=Vufy881Y4kc,2020-09-22T21:42:53Z
19,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,SW5XYszDTPE,2020,9,30,"UK daily Covid-19 cases above 7,000 - Boris Johnson begs nation to stick to rules",Boris Johnson again begged the nation to pull together and follow the rules in order to avoid another national lockdown. He said ...,https://www.youtube.com/watch?v=SW5XYszDTPE,2020-09-30T16:18:56Z
20,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,qs2kd2r0t2M,2020,10,14,Boris Johnson says ‘circuit breaker’ lockdown would be a DISASTER,"EMBATTLED Boris Johnson said a ""circuit breaker"" lockdown would be a ""disaster"" as he again slapped down Labour's demands ...",https://www.youtube.com/watch?v=qs2kd2r0t2M,2020-10-14T13:00:11Z
21,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,LxlloTPVgIQ,2020,10,16,Live: Boris Johnson Covid-19 address warning he will &#39;force&#39; Manchester into Tier 3,Prime Minister Boris Johnson will address the nation amid the rising cases of Covid-19 in the UK. This comes as half of Brits are ...,https://www.youtube.com/watch?v=LxlloTPVgIQ,2020-10-16T16:22:17Z
22,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,dlGZV4MhMwY,2020,10,31,Live: Boris Johnson statement as England-wide lockdown announced,Covid-19 latest - BRITAIN is facing a new four-week national lockdown to save Christmas after scientists warned of 4000 deaths a ...,https://www.youtube.com/watch?v=dlGZV4MhMwY,2020-10-31T19:55:56Z
23,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,KubgGrPLo4s,2020,11,3,Live: Treasury on financial support for Brits in 2nd lockdown,Rishi Sunak answers urgent question in parliament on support for individuals and business during Britain's second lockdown ...,https://www.youtube.com/watch?v=KubgGrPLo4s,2020-11-03T14:22:19Z
24,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,AtIKYbwI7P8,2020,10,30,COVID-19: London to go into tier 3 in weeks as ministers discuss &#39;tier 4&#39; lockdown,Ministers are fiercely debating whether to ramp up the response to coronavirus as scientists warn the death toll of the second ...,https://www.youtube.com/watch?v=AtIKYbwI7P8,2020-10-30T12:00:03Z
25,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,3OO7HmYNEyo,2020,11,5,Live: Boris Johnson COVID-19 briefing as England goes into 2nd lockdown,Coronavirus latest - PM Boris Johnson will address the nation from Downing Street briefing as England and goes into 2nd ...,https://www.youtube.com/watch?v=3OO7HmYNEyo,2020-11-05T18:55:48Z
26,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,tjke_NdpnTM,2020,12,19,Boris Johnson cancels Christmas for millions in London and South East with Tier 4 lockdown,BORIS Johnson has cancelled Christmas for a third of England - with London and the South East to be moved into a new Tier 4 ...,https://www.youtube.com/watch?v=tjke_NdpnTM,2020-12-19T17:20:38Z
27,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,bIqzsqtmNgY,2020,12,19,Live:  Boris Johnson to address nation on new Christmas rules as ‘London put in Tier 4 lockdown&#39;,"CHRISTMAS plans are set to be trashed for millions after it was reported today that London, the South East and East will be ...",https://www.youtube.com/watch?v=bIqzsqtmNgY,2020-12-19T16:54:32Z
28,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,yjdUPWGwjjQ,2020,12,21,Live: Prime Minister addresses the nation from Downing Street about new COVID-19 strain,Prime Minister Boris Johnson addresses the nation on mutant Covid strain causing chaos across the country. Read more: ...,https://www.youtube.com/watch?v=yjdUPWGwjjQ,2020-12-21T17:41:57Z
29,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,YJtNgtu0mOc,2020,12,20,Long queues for the Eurostar in London after Tier 4 coronavirus measures announced,Londoners continue to flee the capital even after the tough new Tier 4 coronavirus restrictions have come into effect. At St Pancras ...,https://www.youtube.com/watch?v=YJtNgtu0mOc,2020-12-20T17:06:12Z
30,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,ZUQ74fRIsAQ,2020,12,20,London&#39;s Oxford Street empty on day one of Tier 4 restrictions,Tier 4 restrictions have been introduced in London and in areas in the south east and east of England. Millions of festive plans ...,https://www.youtube.com/watch?v=ZUQ74fRIsAQ,2020-12-20T11:33:01Z
31,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,d-Q1HdH2o5c,2021,1,4,Boris Johnson says all primary and secondary schools to stay SHUT for a month in new lockdown,"PRIMARY and secondary schools will close immediately and stay shut for a month in the new lockdown, Boris Johnson ...",https://www.youtube.com/watch?v=d-Q1HdH2o5c,2021-01-04T22:37:59Z
32,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,ggwkDvKrXP8,2021,1,4,Breaking: Boris Johnson warns of ‘tough’ weeks ahead as UK set for third lockdown,"Breaking news: BORIS Johnson will reveal a fresh lockdown tonight with an address to the nation - after he warned there was ""no ...",https://www.youtube.com/watch?v=ggwkDvKrXP8,2021-01-04T15:59:46Z
33,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,yKDi3tR5gdg,2021,2,15,Covid-19 -First &#39;red list&#39; travellers arrive in UK for hotel quarantine stay,"Coronavirus latest- PASSENGERS arriving from ""red list"" countries are furious with the £1750 hotel quarantine fiasco after mixing ...",https://www.youtube.com/watch?v=yKDi3tR5gdg,2021-02-15T15:32:44Z
34,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,CYoN45geQbI,2021,2,22,UK lockdown roadmap - Boris hails ‘one way road to freedom’ &amp; vows ‘we will not go back,"BORIS Johnson tonight vowed the UK was on a ""one way road to freedom"" and said his roadmap would make sure the nation ...",https://www.youtube.com/watch?v=CYoN45geQbI,2021-02-22T21:00:02Z
35,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,WRu2meubwkc,2021,2,22,"Lockdown roadmap: Boris reveals shops, pubs &amp; hairdressers will open &amp; holiday plan to come in APRIL","SHOPS, pubs and hairdressers will return from April 12 - and the PM will FINALLY reveal whether the nation can book a foreign ...",https://www.youtube.com/watch?v=WRu2meubwkc,2021-02-22T16:53:47Z
36,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,XhU8YWAI9to,2021,2,22,PM&#39;s COVID-19 plan to unlock England revealed with pubs set to open in 7 weeks,Boris Johnson will begin unlocking England from 8th March in a months-long plan to end the national lockdown. England will end ...,https://www.youtube.com/watch?v=XhU8YWAI9to,2021-02-22T13:00:29Z
37,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,ctUsWHAwCqA,2021,3,8,COVID-19: Schools reopen with mass testing as Boris presses ahead with lockdown plan,Schools across England reopened on Monday in the first step of Boris Johnson's roadmap out of lockdown. Primary and ...,https://www.youtube.com/watch?v=ctUsWHAwCqA,2021-03-08T12:30:03Z
38,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,6BuRnmkjw8Y,2021,3,6,Pupils get Covid-19 tests ahead of schools reopening on March 8,Students at Harris Academy in south London are excited to return and are happy to put up with regular COVID-19 testing if it ...,https://www.youtube.com/watch?v=6BuRnmkjw8Y,2021-03-06T12:13:40Z
39,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,WsvhohYllq0,2021,6,2,UK hits Covid-19 vaccine milestone - 75% of Brits get first jab boosting hopes of lockdown lifting,"Coronavirus latest: Despite fears lockdown will be extended because of the spread of the Indian variant, the UK has hit a ...",https://www.youtube.com/watch?v=WsvhohYllq0,2021-06-02T14:39:34Z
40,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,uJpIqwSHhV4,2021,6,6,Lifting restrictions on June 21 will be decided by Covid stats says Matt Hancock,"Boris Johnson will examine the Covid stats this week to decide over lifting restrictions on June 21, Matt Hancock has revealed.",https://www.youtube.com/watch?v=uJpIqwSHhV4,2021-06-06T10:14:59Z
41,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,VO8-WwYPByY,2021,6,18,Delta variant COVID-19 UK cases surge means lifting lockdown earlier on July 5 UNLIKELY,Coronavirus latest: UK Delta variant COVID-19 cases surge means lifting lockdown earlier on July 5 UNLIKELY Boris Johnson ...,https://www.youtube.com/watch?v=VO8-WwYPByY,2021-06-18T12:47:07Z
42,UCIzXayRP7-P0ANpq-nD-h5g,The Sun,c2UgxWzd3yw,2021,6,25,Covid-19 UK foreign travel: 15 of 16 new green list countries could turn amber,"Coronavirus latest: SUNSEEKERS were given their biggest boost of the year last night as Ibiza, Majorca, Malta and some ...",https://www.youtube.com/watch?v=c2UgxWzd3yw,2021-06-25T11:03:58Z
