,channelId,channelTitle,videoId,vidoeTitle,description,link,time,year,month,day
0,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,pobBdFGQzc8,&#39;Thank you all&#39;: Prince Charles pays tribute to NHS on its 72nd anniversary,"The Prince of Wales has paid tribute to the NHS on its 72nd anniversary, expressing pride in how the health service has coped ...",https://www.youtube.com/watch?v=pobBdFGQzc8,2020-07-05T13:17:52Z,2020,7,5
1,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,YtNa-QlJC58,"Stanley Johnson defends trip to Greece, saying he had to make villa &#39;Covid-proof&#39;","The prime minister's father, Stanley Johnson, has defended travelling to his villa in Greece amid growing condemnation by saying ...",https://www.youtube.com/watch?v=YtNa-QlJC58,2020-07-05T10:55:43Z,2020,7,5
2,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,cM8rKVEEayo,Johnson wishes NHS a &#39;happy birthday&#39; on its 72nd anniversary,The prime minister has paid tribute to the NHS as the health service marked its 72nd anniversary on Sunday. In a video posted on ...,https://www.youtube.com/watch?v=cM8rKVEEayo,2020-07-05T10:22:28Z,2020,7,5
3,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,3-U_HOYz0Wk,Donald Trump vows to defeat &#39;radical left&#39; in 4 July speech,The US president has used an Independence Day address to repeat his vow to defeat the 'radical left' as protests continue to ...,https://www.youtube.com/watch?v=3-U_HOYz0Wk,2020-07-05T09:29:36Z,2020,7,5
