,channelId,channelTitle,videoId,vidoeTitle,description,link,time,year,month,day
0,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,gFowlbVn3Zw,"Keir Starmer on Johnson allegations: &#39;Every day there&#39;s more sleaze, and it stinks&#39;",Labour leader Keir Starmer called for an independent commission on ethics in government after Boris Johnson's former top ...,https://www.youtube.com/watch?v=gFowlbVn3Zw,2021-04-24T15:40:10Z,2021,4,24
1,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,qPgYgj1cix4,SpaceX: astronauts arrive at International Space Station on &#39;recycled&#39; rocket,Four astronauts on board Elon Musk's SpaceX Crew Dragon spacecraft shared hugs and greetings with the incumbent crew on ...,https://www.youtube.com/watch?v=qPgYgj1cix4,2021-04-24T14:44:21Z,2021,4,24
